time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140110:0200,6.75,90.95,28.85,0.0,28.85,270.0,2.14,63.0,97533.0
20140110:0300,7.9,87.35,266.3,959.8,68.05,269.6,1.66,72.0,97639.0
20140110:0400,11.98,68.55,458.25,975.54,82.95,275.0,1.86,86.0,97687.0
20140110:0500,14.93,56.95,602.5,966.2,95.1,282.6,2.14,95.0,97648.0
20140110:0600,17.09,48.65,686.2,946.86,100.75,293.8,2.07,92.0,97591.0
20140110:0700,18.22,43.55,696.5,894.92,107.8,295.2,1.45,72.0,97495.0
20140110:0800,19.11,38.9,527.55,587.74,150.8,302.2,1.31,21.0,97408.0
20140110:0900,19.39,36.95,338.8,289.35,174.15,321.6,1.93,353.0,97332.0
20140110:1000,19.21,36.85,250.4,349.18,94.4,345.2,2.48,354.0,97274.0
20140110:1100,18.74,37.25,110.65,210.4,51.2,325.4,2.83,360.0,97284.0
20140110:1200,17.66,39.9,9.45,41.67,5.8,327.2,2.62,360.0,97312.0
20140110:1300,15.38,46.0,0.0,0.0,0.0,302.2,3.03,357.0,97380.0
20140110:1400,14.36,48.7,0.0,0.0,0.0,302.2,3.38,358.0,97447.0
20140110:1500,13.81,50.3,0.0,0.0,0.0,306.4,3.86,1.0,97514.0
20140110:1600,13.04,52.25,0.0,0.0,0.0,294.4,4.07,5.0,97610.0
20140110:1700,12.43,52.85,0.0,0.0,0.0,296.0,3.93,8.0,97687.0
20140110:1800,11.59,53.85,0.0,0.0,0.0,285.8,3.59,9.0,97687.0
20140110:1900,11.09,56.55,0.0,0.0,0.0,286.4,3.17,12.0,97706.0
20140110:2000,10.33,58.3,0.0,0.0,0.0,281.4,3.17,11.0,97706.0
20140110:2100,9.61,60.5,0.0,0.0,0.0,277.0,3.1,11.0,97687.0
20140110:2200,8.9,63.45,0.0,0.0,0.0,269.6,3.03,11.0,97687.0
20140110:2300,8.23,66.85,0.0,0.0,0.0,264.8,2.97,15.0,97706.0
20140111:0000,7.62,70.35,0.0,0.0,0.0,261.8,2.76,19.0,97734.0
20140111:0100,7.03,74.05,0.0,0.0,0.0,259.2,2.62,21.0,97792.0
20140111:0200,6.47,77.65,28.95,0.0,28.95,256.6,2.48,24.0,97869.0
20140111:0300,7.65,73.65,274.75,999.71,68.0,255.6,2.07,28.0,97974.0
20140111:0400,11.17,59.25,468.0,988.8,86.95,259.2,2.55,33.0,98013.0
20140111:0500,13.89,48.8,616.65,985.68,97.95,265.4,3.31,35.0,98041.0
20140111:0600,15.69,38.45,704.25,969.07,103.6,270.8,3.79,32.0,97993.0
20140111:0700,16.79,32.4,721.2,935.51,104.0,273.2,3.59,29.0,97907.0
20140111:0800,17.76,27.85,665.4,878.84,100.05,274.8,3.52,21.0,97802.0
20140111:0900,18.35,25.0,542.6,789.58,91.3,276.2,3.66,16.0,97725.0
20140111:1000,18.46,23.4,365.55,643.19,76.45,275.8,3.72,15.0,97687.0
20140111:1100,18.06,23.25,159.8,385.52,49.8,275.2,3.59,16.0,97715.0
20140111:1200,16.64,27.0,11.85,56.47,6.75,272.8,2.48,16.0,97754.0
20140111:1300,14.18,32.3,0.0,0.0,0.0,268.4,2.76,14.0,97792.0
20140111:1400,12.48,36.7,0.0,0.0,0.0,266.0,2.69,14.0,97888.0
20140111:1500,11.27,40.6,0.0,0.0,0.0,264.4,2.69,20.0,97993.0
20140111:1600,10.32,44.6,0.0,0.0,0.0,263.0,2.76,27.0,98051.0
20140111:1700,9.53,48.55,0.0,0.0,0.0,262.0,2.76,35.0,98070.0
20140111:1800,8.89,52.3,0.0,0.0,0.0,261.0,2.69,44.0,98061.0
20140111:1900,8.23,56.7,0.0,0.0,0.0,258.8,2.55,52.0,98051.0
20140111:2000,7.63,60.3,0.0,0.0,0.0,257.4,2.48,57.0,98003.0
20140111:2100,7.01,63.9,0.0,0.0,0.0,256.0,2.41,61.0,97984.0
20140111:2200,6.36,67.65,0.0,0.0,0.0,253.6,2.34,63.0,97965.0
20140111:2300,5.76,71.2,0.0,0.0,0.0,251.8,2.34,64.0,97936.0
20140112:0000,5.23,74.5,0.0,0.0,0.0,250.0,2.34,64.0,97936.0
20140112:0100,4.75,77.85,0.0,0.0,0.0,248.8,2.28,64.0,97993.0
20140112:0200,4.17,81.95,31.1,0.0,31.1,247.6,2.07,63.0,98080.0
20140112:0300,6.02,76.75,265.0,889.18,80.8,249.6,1.17,66.0,98176.0
20140112:0400,10.94,56.4,464.4,944.28,99.8,259.0,1.03,67.0,98272.0
20140112:0500,14.47,44.65,612.35,960.82,105.6,267.6,1.66,71.0,98262.0
20140112:0600,16.14,36.65,705.65,972.43,101.35,272.8,2.0,71.0,98185.0
20140112:0700,17.3,33.3,721.2,933.88,103.2,276.8,2.0,82.0,98032.0
20140112:0800,18.29,30.2,663.4,869.45,102.05,280.4,1.86,81.0,97898.0
20140112:0900,18.91,28.25,538.4,775.62,93.05,282.8,1.66,72.0,97802.0
20140112:1000,19.13,27.6,364.05,634.27,77.2,284.8,1.72,57.0,97725.0
20140112:1100,18.91,27.65,157.45,362.13,53.1,284.8,1.86,50.0,97725.0
20140112:1200,17.69,32.55,11.85,42.43,7.9,283.0,1.93,35.0,97734.0
20140112:1300,15.3,38.95,0.0,0.0,0.0,280.4,2.76,25.0,97782.0
20140112:1400,13.36,44.0,0.0,0.0,0.0,277.4,2.69,21.0,97840.0
20140112:1500,12.23,47.2,0.0,0.0,0.0,275.6,2.76,22.0,97878.0
20140112:1600,11.33,50.65,0.0,0.0,0.0,273.8,2.69,28.0,97926.0
20140112:1700,10.43,55.2,0.0,0.0,0.0,272.8,2.55,41.0,97917.0
20140112:1800,9.49,60.85,0.0,0.0,0.0,272.2,2.41,57.0,97898.0
20140112:1900,8.75,67.75,0.0,0.0,0.0,272.4,2.21,73.0,97898.0
20140112:2000,7.92,73.15,0.0,0.0,0.0,272.2,1.93,74.0,97859.0
20140112:2100,7.12,78.4,0.0,0.0,0.0,272.6,1.79,62.0,97850.0
20140112:2200,6.5,82.9,0.0,0.0,0.0,272.2,1.86,56.0,97773.0
20140112:2300,6.0,86.8,0.0,0.0,0.0,271.6,1.93,64.0,97782.0
20140113:0000,5.62,89.45,0.0,0.0,0.0,271.4,1.93,81.0,97792.0
20140113:0100,5.38,90.3,0.0,0.0,0.0,270.6,2.0,99.0,97802.0
20140113:0200,5.26,90.25,28.5,0.0,28.5,270.8,1.93,104.0,97926.0
20140113:0300,7.09,83.3,264.8,937.87,70.1,272.2,1.24,100.0,97993.0
20140113:0400,12.23,60.1,452.0,932.01,91.35,278.0,1.38,95.0,98051.0
20140113:0500,15.71,49.6,599.95,950.27,97.55,286.8,2.41,109.0,98041.0
20140113:0600,17.94,43.25,681.1,910.32,113.85,294.6,3.52,114.0,97946.0
20140113:0700,19.12,37.85,701.05,895.83,106.35,300.0,3.17,114.0,97811.0
20140113:0800,20.24,32.85,626.25,795.44,110.75,301.6,2.62,116.0,97687.0
20140113:0900,20.79,30.3,500.95,698.95,97.75,307.0,1.93,109.0,97591.0
20140113:1000,20.96,29.3,335.3,516.39,100.3,305.2,1.66,87.0,97514.0
20140113:1100,20.74,29.5,131.5,208.05,70.95,308.4,1.86,67.0,97523.0
20140113:1200,19.26,35.8,10.85,30.76,7.9,305.8,2.21,44.0,97523.0
20140113:1300,16.67,42.95,0.0,0.0,0.0,308.0,2.83,42.0,97504.0
20140113:1400,15.31,46.95,0.0,0.0,0.0,309.0,2.83,49.0,97600.0
20140113:1500,14.23,51.3,0.0,0.0,0.0,299.8,2.97,64.0,97619.0
20140113:1600,13.25,56.1,0.0,0.0,0.0,290.2,3.1,84.0,97677.0
20140113:1700,12.57,60.1,0.0,0.0,0.0,289.0,3.1,102.0,97648.0
20140113:1800,12.16,63.0,0.0,0.0,0.0,296.2,2.83,113.0,97629.0
20140113:1900,11.93,66.2,0.0,0.0,0.0,303.2,2.62,116.0,97600.0
20140113:2000,11.23,70.75,0.0,0.0,0.0,292.6,2.34,113.0,97571.0
20140113:2100,10.36,76.15,0.0,0.0,0.0,283.0,2.14,99.0,97571.0
20140113:2200,9.46,82.0,0.0,0.0,0.0,282.8,2.21,85.0,97533.0
20140113:2300,8.77,86.75,0.0,0.0,0.0,282.2,2.28,79.0,97533.0
