time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190107:2130,0.0,0.0,0.0,0.0,0.0,9.06,2.34,0.0
20190107:2230,0.0,0.0,0.0,0.0,0.0,8.47,2.21,0.0
20190107:2330,0.0,0.0,0.0,0.0,0.0,7.93,2.21,0.0
20190108:0030,0.0,0.0,0.0,0.0,0.0,7.49,2.21,0.0
20190108:0130,0.0,0.0,0.0,0.0,0.0,7.13,2.14,0.0
20190108:0230,140.94,141.28,46.32,0.99,6.15,6.76,2.07,0.0
20190108:0330,384.64,361.88,94.76,3.56,17.4,7.95,1.45,0.0
20190108:0430,572.32,579.52,116.83,6.08,27.31,12.77,1.59,0.0
20190108:0530,692.42,742.52,129.07,8.0,35.16,16.06,1.66,0.0
20190108:0630,743.37,835.83,135.18,9.11,39.93,18.24,1.03,0.0
20190108:0730,733.27,852.2,135.76,9.3,40.73,19.64,0.21,0.0
20190108:0830,696.4,790.36,130.93,8.55,37.38,20.81,0.69,0.0
20190108:0930,604.75,654.61,120.93,6.92,30.57,21.51,1.45,0.0
20190108:1030,445.3,456.46,103.6,4.6,21.34,21.6,1.93,0.0
20190108:1130,218.53,217.93,69.39,1.91,10.53,21.14,2.07,0.0
20190108:1230,0.0,0.0,0.0,0.0,-1.29,19.69,2.07,0.0
20190108:1330,0.0,0.0,0.0,0.0,0.0,16.89,2.83,0.0
20190108:1430,0.0,0.0,0.0,0.0,0.0,15.19,2.76,0.0
20190108:1530,0.0,0.0,0.0,0.0,0.0,13.99,2.69,0.0
20190108:1630,0.0,0.0,0.0,0.0,0.0,12.98,2.62,0.0
20190108:1730,0.0,0.0,0.0,0.0,0.0,12.11,2.62,0.0
20190108:1830,0.0,0.0,0.0,0.0,0.0,11.43,2.55,0.0
20190108:1930,0.0,0.0,0.0,0.0,0.0,10.93,2.62,0.0
20190108:2030,0.0,0.0,0.0,0.0,0.0,10.39,2.55,0.0
20190108:2130,0.0,0.0,0.0,0.0,0.0,9.82,2.41,0.0
20190108:2230,0.0,0.0,0.0,0.0,0.0,9.19,2.21,0.0
20190108:2330,0.0,0.0,0.0,0.0,0.0,8.57,2.07,0.0
20190109:0030,0.0,0.0,0.0,0.0,0.0,7.91,1.93,0.0
20190109:0130,0.0,0.0,0.0,0.0,0.0,7.34,1.93,0.0
20190109:0230,139.81,140.53,46.05,0.99,6.15,6.91,2.0,0.0
20190109:0330,381.55,360.2,94.1,3.55,17.41,8.44,1.38,0.0
20190109:0430,569.11,577.56,116.04,6.06,27.36,13.55,1.72,0.0
20190109:0530,695.14,740.71,128.17,7.99,35.23,16.61,2.28,0.0
20190109:0630,756.45,834.61,134.42,9.11,40.05,18.58,2.14,0.0
20190109:0730,762.28,850.58,135.28,9.3,40.88,20.03,2.14,0.0
20190109:0830,712.35,788.34,130.99,8.55,37.54,21.19,2.07,0.0
20190109:0930,608.63,653.0,121.28,6.93,30.74,21.9,2.14,0.0
20190109:1030,445.75,456.11,104.02,4.62,21.5,22.1,2.28,0.0
20190109:1130,223.03,222.23,70.82,1.97,10.68,21.69,2.41,0.0
20190109:1230,0.0,0.0,0.0,0.0,-1.14,20.28,2.14,0.0
20190109:1330,0.0,0.0,0.0,0.0,0.0,17.64,2.69,0.0
20190109:1430,0.0,0.0,0.0,0.0,0.0,15.91,2.62,0.0
20190109:1530,0.0,0.0,0.0,0.0,0.0,14.63,2.55,0.0
20190109:1630,0.0,0.0,0.0,0.0,0.0,13.61,2.48,0.0
20190109:1730,0.0,0.0,0.0,0.0,0.0,12.65,2.41,0.0
20190109:1830,0.0,0.0,0.0,0.0,0.0,11.69,2.28,0.0
20190109:1930,0.0,0.0,0.0,0.0,0.0,10.86,2.28,0.0
20190109:2030,0.0,0.0,0.0,0.0,0.0,10.16,2.28,0.0
20190109:2130,0.0,0.0,0.0,0.0,0.0,9.55,2.28,0.0
20190109:2230,0.0,0.0,0.0,0.0,0.0,9.05,2.28,0.0
20190109:2330,0.0,0.0,0.0,0.0,0.0,8.55,2.14,0.0
20190110:0030,0.0,0.0,0.0,0.0,0.0,8.09,2.21,0.0
20190110:0130,0.0,0.0,0.0,0.0,0.0,7.74,2.21,0.0
20190110:0230,141.0,142.43,46.12,1.0,6.15,7.53,2.28,0.0
20190110:0330,384.54,364.16,93.75,3.58,17.44,9.13,1.79,0.0
20190110:0430,570.61,581.97,115.39,6.11,27.41,14.73,2.0,0.0
20190110:0530,693.48,745.34,127.26,8.04,35.32,18.45,2.48,0.0
20190110:0630,755.08,842.34,133.14,9.19,40.17,20.98,2.41,0.0
